"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Benin","Togo","2013","0","0","0","0"
"Bolivia (Plurinational State of)","Angola","2013","1","0","1","0"
"Bolivia (Plurinational State of)","Cameroon","2013","1","0","1","0"
"Bolivia (Plurinational State of)","China","2013","8","1","8","1"
"Bolivia (Plurinational State of)","Colombia","2013","178","105","178","105"
"Bolivia (Plurinational State of)","Congo","2013","1","0","1","0"
"Bolivia (Plurinational State of)","Côte d'Ivoire","2013","1","0","1","0"
"Bolivia (Plurinational State of)","Cuba","2013","9","2","9","2"
"Bolivia (Plurinational State of)","Ecuador","2013","2","1","2","1"
"Bolivia (Plurinational State of)","Ethiopia","2013","2","0","2","0"
"Bolivia (Plurinational State of)","Ghana","2013","1","1","1","1"
"Bolivia (Plurinational State of)","Honduras","2013","1","0","1","0"
"Bolivia (Plurinational State of)","Iraq","2013","16","3","16","3"
"Bolivia (Plurinational State of)","Israel","2013","1","0","1","0"
"Bolivia (Plurinational State of)","Peru","2013","513","45","513","45"
"Bolivia (Plurinational State of)","Portugal","2013","1","0","1","0"
"Bolivia (Plurinational State of)","Russian Federation","2013","5","0","5","0"
"Bolivia (Plurinational State of)","Serbia (and Kosovo: S/RES/1244 (1999))","2013","1","0","1","0"
"Bolivia (Plurinational State of)","Sri Lanka","2013","1","0","1","0"
"Bolivia (Plurinational State of)","Syrian Arab Rep.","2013","3","3","3","3"
"Bolivia (Plurinational State of)","Ukraine","2013","1","0","1","0"
"Bolivia (Plurinational State of)","Venezuela (Bolivarian Republic of)","2013","1","0","1","0"
"Bosnia and Herzegovina","Algeria","2013","1","1","1","1"
"Bosnia and Herzegovina","Cameroon","2013","1","1","1","1"
"Bosnia and Herzegovina","Croatia","2013","6709","73","6709","73"
"Bosnia and Herzegovina","Eritrea","2013","3","3","3","3"
"Bosnia and Herzegovina","Iraq","2013","1","1","1","1"
"Bosnia and Herzegovina","Montenegro","2013","1","1","1","1"
"Bosnia and Herzegovina","Myanmar","2013","1","1","1","1"
"Bosnia and Herzegovina","Rep. of Moldova","2013","3","3","3","3"
"Bosnia and Herzegovina","Saudi Arabia","2013","1","1","1","1"
"Bosnia and Herzegovina","Serbia (and Kosovo: S/RES/1244 (1999))","2013","147","147","147","147"
"Bosnia and Herzegovina","Sri Lanka","2013","1","1","1","1"
"Bosnia and Herzegovina","State of Palestine","2013","5","5","5","5"
"Bosnia and Herzegovina","Syrian Arab Rep.","2013","48","48","48","48"
"Bosnia and Herzegovina","The former Yugoslav Rep. of Macedonia","2013","4","4","4","4"
"Botswana","Algeria","2013","1","1","1","1"
"Botswana","Angola","2013","0","0","0","0"
"Botswana","Burundi","2013","68","68","68","68"
"Botswana","Cambodia","2013","1","1","1","1"
"Botswana","Dem. Rep. of the Congo","2013","174","174","174","174"
"Botswana","Ethiopia","2013","6","6","6","6"
"Botswana","Kenya","2013","4","4","4","4"
"Botswana","Namibia","2013","977","977","977","977"
"Botswana","Rwanda","2013","62","62","62","62"
"Botswana","Somalia","2013","450","450","450","450"
"Botswana","South Sudan","2013","1","1","1","1"
"Botswana","Sudan","2013","7","7","7","7"
"Botswana","Uganda","2013","27","27","27","27"
"Botswana","Zimbabwe","2013","995","995","995","995"
"Brazil","Afghanistan","2013","41","5","41","5"
"Brazil","Algeria","2013","7","0","7","0"
"Brazil","Angola","2013","1062","48","1062","48"
"Brazil","Argentina","2013","11","0","11","0"
"Brazil","Armenia","2013","3","2","3","2"
"Brazil","Bangladesh","2013","4","2","4","2"
"Brazil","Bhutan","2013","29","14","29","14"
"Brazil","Bolivia (Plurinational State of)","2013","143","1","143","1"
"Brazil","Bosnia and Herzegovina","2013","4","0","4","0"
"Brazil","Burkina Faso","2013","2","1","2","1"
"Brazil","Burundi","2013","33","4","33","4"
"Brazil","Cabo Verde","2013","1","0","1","0"
"Brazil","Cameroon","2013","8","2","8","2"
"Brazil","Central African Rep.","2013","3","1","3","1"
"Brazil","Chad","2013","2","0","2","0"
"Brazil","Chile","2013","21","0","21","0"
"Brazil","Colombia","2013","1147","250","1147","250"
"Brazil","Congo","2013","8","0","8","0"
"Brazil","Costa Rica","2013","2","0","2","0"
"Brazil","Côte d'Ivoire","2013","28","14","28","14"
"Brazil","Croatia","2013","5","0","5","0"
"Brazil","Cuba","2013","135","3","135","3"
"Brazil","Dem. Rep. of the Congo","2013","617","190","617","190"
"Brazil","Dominican Rep.","2013","2","0","2","0"
"Brazil","Ecuador","2013","57","7","57","7"
"Brazil","Egypt","2013","5","2","5","2"
"Brazil","El Salvador","2013","5","1","5","1"
"Brazil","Eritrea","2013","25","3","25","3"
"Brazil","Ethiopia","2013","20","1","20","1"
"Brazil","Gambia","2013","4","2","4","2"
"Brazil","Georgia","2013","10","4","10","4"
"Brazil","Ghana","2013","12","5","12","5"
"Brazil","Guinea","2013","9","3","9","3"
"Brazil","Guinea-Bissau","2013","11","2","11","2"
"Brazil","Haiti","2013","3","0","3","0"
"Brazil","Hungary","2013","1","0","1","0"
"Brazil","India","2013","1","1","1","1"
"Brazil","Iraq","2013","217","19","217","19"
"Brazil","Islamic Rep. of Iran","2013","39","8","39","8"
"Brazil","Jordan","2013","2","0","2","0"
"Brazil","Kuwait","2013","1","0","1","0"
"Brazil","Lebanon","2013","34","5","34","5"
"Brazil","Liberia","2013","258","5","258","5"
"Brazil","Libya","2013","3","0","3","0"
"Brazil","Mali","2013","23","19","23","19"
"Brazil","Mauritania","2013","2","1","2","1"
"Brazil","Morocco","2013","5","2","5","2"
"Brazil","Mozambique","2013","1","0","1","0"
"Brazil","Nepal","2013","4","3","4","3"
"Brazil","Nicaragua","2013","1","0","1","0"
"Brazil","Nigeria","2013","55","21","55","21"
"Brazil","Pakistan","2013","60","37","60","37"
"Brazil","Paraguay","2013","7","0","7","0"
"Brazil","Peru","2013","45","10","45","10"
"Brazil","Poland","2013","2","0","2","0"
"Brazil","Romania","2013","1","1","1","1"
"Brazil","Russian Federation","2013","9","0","9","0"
"Brazil","Rwanda","2013","18","0","18","0"
"Brazil","Senegal","2013","7","4","7","4"
"Brazil","Serbia (and Kosovo: S/RES/1244 (1999))","2013","92","1","92","1"
"Brazil","Sierra Leone","2013","137","3","137","3"
"Brazil","Slovenia","2013","1","0","1","0"
"Brazil","Somalia","2013","45","2","45","2"
"Brazil","South Africa","2013","3","0","3","0"
"Brazil","Sri Lanka","2013","6","6","6","6"
"Brazil","State of Palestine","2013","212","4","212","4"
"Brazil","Stateless","2013","8","0","8","0"
"Brazil","Sudan","2013","46","8","46","8"
"Brazil","Syrian Arab Rep.","2013","333","162","333","162"
"Brazil","The former Yugoslav Rep. of Macedonia","2013","6","0","6","0"
"Brazil","Uganda","2013","2","0","2","0"
"Brazil","Ukraine","2013","1","0","1","0"
"Brazil","United Rep. of Tanzania","2013","5","0","5","0"
"Brazil","United States","2013","1","0","1","0"
"Brazil","Uruguay","2013","1","0","1","0"
"Brazil","Venezuela (Bolivarian Republic of)","2013","14","1","14","1"
"Brazil","Viet Nam","2013","4","0","4","0"
"Brazil","Zimbabwe","2013","4","1","4","1"
"British Virgin Islands","Sri Lanka","2013","0","0","0","0"
"Bulgaria","Afghanistan","2013","268","4","268","4"
"Bulgaria","Albania","2013","5","0","5","0"
"Bulgaria","Algeria","2013","1","0","1","0"
"Bulgaria","Angola","2013","0","0","0","0"
"Bulgaria","Armenia","2013","28","1","28","1"
"Bulgaria","Azerbaijan","2013","1","0","1","0"
"Bulgaria","Bangladesh","2013","9","1","9","1"
"Bulgaria","Belarus","2013","2","0","2","0"
"Bulgaria","Benin","2013","0","0","0","0"
"Bulgaria","Burundi","2013","1","0","1","0"
"Bulgaria","Cameroon","2013","0","0","0","0"
"Bulgaria","Congo","2013","6","1","6","1"
"Bulgaria","Côte d'Ivoire","2013","3","1","3","1"
"Bulgaria","Cuba","2013","5","0","5","0"
"Bulgaria","Dem. Rep. of the Congo","2013","2","0","2","0"
"Bulgaria","Egypt","2013","15","5","15","5"
"Bulgaria","Eritrea","2013","4","1","4","1"
"Bulgaria","Ethiopia","2013","7","0","7","0"
"Bulgaria","Georgia","2013","6","0","6","0"
"Bulgaria","Guinea","2013","1","0","1","0"
"Bulgaria","India","2013","2","2","2","2"
"Bulgaria","Iraq","2013","1200","74","1200","74"
"Bulgaria","Islamic Rep. of Iran","2013","70","3","70","3"
"Bulgaria","Jordan","2013","3","2","3","2"
"Bulgaria","Lebanon","2013","12","6","12","6"
"Bulgaria","Liberia","2013","1","0","1","0"
"Bulgaria","Libya","2013","1","0","1","0"
"Bulgaria","Mali","2013","1","1","1","1"
"Bulgaria","Nepal","2013","2","0","2","0"
"Bulgaria","Nigeria","2013","8","0","8","0"
"Bulgaria","Pakistan","2013","4","1","4","1"
"Bulgaria","Russian Federation","2013","3","0","3","0"
"Bulgaria","Rwanda","2013","1","0","1","0"
"Bulgaria","Somalia","2013","86","15","86","15"
"Bulgaria","Sri Lanka","2013","2","0","2","0"
"Bulgaria","Stateless","2013","404","326","404","326"
"Bulgaria","Sudan","2013","24","5","24","5"
"Bulgaria","Syrian Arab Rep.","2013","2104","2011","2104","2011"
"Bulgaria","Tunisia","2013","5","1","5","1"
"Bulgaria","Turkey","2013","18","0","18","0"
"Bulgaria","Uganda","2013","1","0","1","0"
"Bulgaria","United Arab Emirates","2013","1","1","1","1"
"Bulgaria","United Rep. of Tanzania","2013","1","0","1","0"
"Bulgaria","Zimbabwe","2013","2","0","2","0"
"Burkina Faso","Burundi","2013","61","23","61","23"
"Burkina Faso","Cameroon","2013","9","3","9","3"
"Burkina Faso","Central African Rep.","2013","18","3","18","3"
"Burkina Faso","Chad","2013","187","85","187","85"
"Burkina Faso","Congo","2013","94","34","94","34"
"Burkina Faso","Côte d'Ivoire","2013","12","3","12","3"
"Burkina Faso","Dem. Rep. of the Congo","2013","47","23","47","23"
"Burkina Faso","Eritrea","2013","1","1","1","1"
"Burkina Faso","Ghana","2013","1","0","1","0"
"Burkina Faso","Guinea","2013","3","0","3","0"
"Burkina Faso","Mali","2013","28684","28684","28684","28684"
"Burkina Faso","Mauritania","2013","1","0","1","0"
"Burkina Faso","Rwanda","2013","74","36","74","36"
"Burkina Faso","Sudan","2013","7","8","7","8"
"Burkina Faso","Togo","2013","30","12","30","12"
"Burkina Faso","Viet Nam","2013","5","0","5","0"
"Burundi","Benin","2013","0","0","0","0"
"Burundi","Dem. Rep. of the Congo","2013","45124","45124","45124","45124"
"Burundi","Ethiopia","2013","0","0","0","0"
"Burundi","Mali","2013","1","1","1","1"
"Burundi","Mauritania","2013","0","0","0","0"
"Burundi","Mozambique","2013","0","0","0","0"
"Burundi","Rwanda","2013","346","346","346","346"
"Burundi","Somalia","2013","17","17","17","17"
"Burundi","Sudan","2013","1","1","1","1"
"Burundi","Zambia","2013","1","1","1","1"
"Cambodia","Dem. Rep. of the Congo","2013","1","1","1","1"
"Cambodia","Myanmar","2013","24","24","24","24"
"Cambodia","Pakistan","2013","1","1","1","1"
"Cambodia","Somalia","2013","1","1","1","1"
"Cambodia","Sri Lanka","2013","5","5","5","5"
"Cambodia","Sudan","2013","1","1","1","1"
"Cambodia","Viet Nam","2013","35","35","35","35"
"Cameroon","Algeria","2013","2","2","2","2"
"Cameroon","Angola","2013","12","12","12","12"
"Cameroon","Burkina Faso","2013","1","1","1","1"
"Cameroon","Burundi","2013","71","71","71","71"
"Cameroon","Cambodia","2013","5","5","5","5"
"Cameroon","Central African Rep.","2013","102195","102195","103892","103892"
"Cameroon","Chad","2013","1721","1721","1721","1721"
"Cameroon","Congo","2013","61","61","61","61"
"Cameroon","Côte d'Ivoire","2013","109","109","109","109"
"Cameroon","Dem. Rep. of the Congo","2013","464","464","464","464"
"Cameroon","Equatorial Guinea","2013","9","9","9","9"
"Cameroon","Eritrea","2013","1","1","1","1"
"Cameroon","Gabon","2013","3","3","3","3"
"Cameroon","Ghana","2013","0","0","0","0"
"Cameroon","Guinea","2013","14","14","14","14"
"Cameroon","Islamic Rep. of Iran","2013","1","1","1","1"
"Cameroon","Liberia","2013","17","17","17","17"
"Cameroon","Mali","2013","2","2","2","2"
"Cameroon","Mauritania","2013","4","4","4","4"
"Cameroon","Morocco","2013","1","1","1","1"
"Cameroon","Nigeria","2013","1749","1749","7459","7459"
"Cameroon","Rwanda","2013","823","823","823","823"
"Cameroon","Senegal","2013","2","2","2","2"
"Cameroon","Somalia","2013","1","1","1","1"
"Cameroon","South Sudan","2013","3","3","3","3"
"Cameroon","Sudan","2013","62","62","62","62"
"Cameroon","Swaziland","2013","1","1","1","1"
"Cameroon","Syrian Arab Rep.","2013","1","1","1","1"
"Cameroon","Togo","2013","10","10","10","10"
"Cameroon","Uganda","2013","1","1","1","1"
"Canada","Afghanistan","2013","2700","0","2700","0"
"Canada","Albania","2013","1706","0","1706","0"
"Canada","Algeria","2013","443","0","443","0"
"Canada","Angola","2013","650","0","650","0"
"Canada","Antigua and Barbuda","2013","45","0","45","0"
"Canada","Argentina","2013","239","0","239","0"
"Canada","Armenia","2013","190","0","190","0"
"Canada","Australia","2013","6","0","6","0"
"Canada","Azerbaijan","2013","550","0","550","0"
"Canada","Bahamas","2013","23","0","23","0"
"Canada","Bahrain","2013","6","0","6","0"
"Canada","Bangladesh","2013","1764","0","1764","0"
"Canada","Barbados","2013","63","0","63","0"
"Canada","Belarus","2013","268","0","268","0"
"Canada","Belgium","2013","16","0","16","0"
"Canada","Belize","2013","7","0","7","0"
"Canada","Benin","2013","46","0","46","0"
"Canada","Bhutan","2013","22","0","22","0"
"Canada","Bolivia (Plurinational State of)","2013","152","0","152","0"
"Canada","Bosnia and Herzegovina","2013","85","0","85","0"
"Canada","Botswana","2013","149","0","149","0"
"Canada","Brazil","2013","177","0","177","0"
"Canada","Bulgaria","2013","813","0","813","0"
"Canada","Burkina Faso","2013","146","0","146","0"
"Canada","Burundi","2013","2278","0","2278","0"
"Canada","Cambodia","2013","186","0","186","0"
"Canada","Cameroon","2013","932","0","932","0"
"Canada","Central African Rep.","2013","64","0","64","0"
"Canada","Chad","2013","519","0","519","0"
"Canada","Chile","2013","130","0","130","0"
"Canada","China","2013","15344","0","15344","0"
"Canada","Colombia","2013","17381","0","17381","0"
"Canada","Comoros","2013","4","0","4","0"
"Canada","Congo","2013","265","0","265","0"
"Canada","Costa Rica","2013","267","0","267","0"
"Canada","Côte d'Ivoire","2013","423","0","423","0"
"Canada","Croatia","2013","70","0","70","0"
"Canada","Cuba","2013","1674","0","1674","0"
"Canada","Cyprus","2013","1","0","1","0"
"Canada","Czech Rep.","2013","238","0","238","0"
"Canada","Dem. People's Rep. of Korea","2013","127","0","127","0"
"Canada","Dem. Rep. of the Congo","2013","3874","0","3874","0"
"Canada","Denmark","2013","6","0","6","0"
"Canada","Djibouti","2013","289","0","289","0"
"Canada","Dominica","2013","30","0","30","0"
"Canada","Dominican Rep.","2013","167","0","167","0"
"Canada","Ecuador","2013","216","0","216","0"
"Canada","Egypt","2013","638","0","638","0"
"Canada","El Salvador","2013","1223","0","1223","0"
"Canada","Equatorial Guinea","2013","12","0","12","0"
"Canada","Eritrea","2013","1676","0","1676","0"
"Canada","Estonia","2013","14","0","14","0"
"Canada","Ethiopia","2013","2163","0","2163","0"
"Canada","Fiji","2013","273","0","273","0"
"Canada","Finland","2013","2","0","2","0"
"Canada","France","2013","36","0","36","0"
"Canada","Gabon","2013","55","0","55","0"
"Canada","Gambia","2013","72","0","72","0"
"Canada","Georgia","2013","485","0","485","0"
"Canada","Germany","2013","90","0","90","0"
"Canada","Ghana","2013","361","0","361","0"
"Canada","Greece","2013","18","0","18","0"
"Canada","Grenada","2013","304","0","304","0"
"Canada","Guatemala","2013","864","0","864","0"
"Canada","Guinea","2013","839","0","839","0"
"Canada","Guinea-Bissau","2013","20","0","20","0"
"Canada","Guyana","2013","640","0","640","0"
"Canada","Haiti","2013","7872","0","7872","0"
"Canada","Honduras","2013","679","0","679","0"
"Canada","Hong Kong SAR, China","2013","19","0","19","0"
"Canada","Hungary","2013","765","0","765","0"
"Canada","India","2013","4988","0","4988","0"
"Canada","Indonesia","2013","358","0","358","0"
"Canada","Iraq","2013","1730","0","1730","0"
"Canada","Ireland","2013","7","0","7","0"
"Canada","Islamic Rep. of Iran","2013","3033","0","3033","0"
"Canada","Israel","2013","687","0","687","0"
"Canada","Italy","2013","17","0","17","0"
"Canada","Jamaica","2013","621","0","621","0"
"Canada","Japan","2013","26","0","26","0"
"Canada","Jordan","2013","414","0","414","0"
"Canada","Kazakhstan","2013","149","0","149","0"
"Canada","Kenya","2013","1019","0","1019","0"
"Canada","Kiribati","2013","3","0","3","0"
"Canada","Kuwait","2013","51","0","51","0"
"Canada","Kyrgyzstan","2013","120","0","120","0"
"Canada","Lao People's Dem. Rep.","2013","6","0","6","0"
"Canada","Latvia","2013","55","0","55","0"
"Canada","Lebanon","2013","1103","0","1103","0"
"Canada","Lesotho","2013","5","0","5","0"
"Canada","Liberia","2013","134","0","134","0"
"Canada","Libya","2013","230","0","230","0"
"Canada","Lithuania","2013","108","0","108","0"
"Canada","Madagascar","2013","16","0","16","0"
"Canada","Malawi","2013","28","0","28","0"
"Canada","Malaysia","2013","193","0","193","0"
"Canada","Maldives","2013","1","0","1","0"
